trade_id,order_id,strategy_id,timestamp,side,qty,exec_price,raw_price,commission,notional,liquidity_role
TRD-000001,ORD-000001,strategy-1,2026-03-01T21:24:53.392000,BUY,0.038796,65608.6,65608.6,0.0,2545.3512456,TAKER
TRD-000002,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.128142,65601.7,65601.7,0.0,8406.3330414,TAKER
TRD-000003,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.020929,65602.9,65602.9,0.0,1373.0030940999998,TAKER
TRD-000004,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.0002,65603.1,65603.1,0.0,13.120620000000002,TAKER
TRD-000005,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.024,65603.5,65603.5,0.0,1574.484,TAKER
TRD-000006,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.045914,65603.9,65603.9,0.0,3012.1374646,TAKER
TRD-000007,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.054471,65604.0,65604.0,0.0,3573.515484,TAKER
TRD-000008,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.110789,65605.4,65605.4,0.0,7268.3566605999995,TAKER
TRD-000009,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.0004,65606.4,65606.4,0.0,26.242559999999997,TAKER
TRD-000010,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.024,65606.6,65606.6,0.0,1574.5584000000001,TAKER
TRD-000011,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.001379,65606.9,65606.9,0.0,90.47191509999999,TAKER
TRD-000012,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.007621,65607.7,65607.7,0.0,499.9962817,TAKER
TRD-000013,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.000115,65607.8,65607.8,0.0,7.544897000000001,TAKER
TRD-000014,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.001,65608.3,65608.3,0.0,65.6083,TAKER
TRD-000015,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.019758,65608.5,65608.5,0.0,1296.292743,TAKER
TRD-000016,ORD-000001,strategy-1,2026-03-01T21:25:07.992000,BUY,0.000552,65608.6,65608.6,0.0,36.2159472,TAKER
TRD-000017,ORD-000001,strategy-1,2026-03-01T21:25:22.393000,BUY,0.16578,65582.5,65582.5,0.0,10872.26685,TAKER
TRD-000018,ORD-000001,strategy-1,2026-03-01T21:25:22.393000,BUY,0.0002,65583.3,65583.3,0.0,13.116660000000001,TAKER
TRD-000019,ORD-000001,strategy-1,2026-03-01T21:25:22.393000,BUY,0.0002,65585.5,65585.5,0.0,13.1171,TAKER
TRD-000020,ORD-000001,strategy-1,2026-03-01T21:25:22.393000,BUY,0.024086,65585.6,65585.6,0.0,1579.6947616000002,TAKER
TRD-000021,ORD-000001,strategy-1,2026-03-01T21:25:22.393000,BUY,0.047364,65585.7,65585.7,0.0,3106.4010948,TAKER
