order_id,strategy_id,side,order_type,submitted_at,submitted_price,submitted_qty,final_status,final_updated_at,filled_qty_total,remaining_qty,avg_fill_price,first_fill_at,last_fill_at,trade_count,commission_total,slippage_cost_total,rejection_reason
ORD-000001,strategy-1,BUY,LIMIT,2026-03-01T21:24:53.392000,65608.6,1.0,FILLED,2026-03-01T21:25:22.393000,0.9999999999999999,0.0,65595.179193,2026-03-01T21:24:53.392000,2026-03-01T21:25:22.393000,33,0.0,0.0,
ORD-000002,strategy-1,SELL,LIMIT,2026-03-01T21:29:53.793000,65606.8,0.9999999999999999,FILLED,2026-03-01T21:33:47.193000,1.0,0.0,65618.5328018,2026-03-01T21:29:53.793000,2026-03-01T21:33:47.193000,18,0.0,0.0,
ORD-000003,strategy-1,BUY,LIMIT,2026-03-01T21:42:42.393000,65562.8,1.0,FILLED,2026-03-01T22:09:44.392000,1.0,0.0,65554.66346210001,2026-03-01T21:42:42.393000,2026-03-01T22:09:44.392000,10,0.0,0.0,
ORD-000004,strategy-1,SELL,LIMIT,2026-03-01T22:13:11.993000,66359.6,1.0,FILLED,2026-03-02T00:44:45.592000,1.0,0.0,66407.8614646,2026-03-01T22:13:11.993000,2026-03-02T00:44:45.592000,11,0.0,0.0,
ORD-000005,strategy-1,BUY,LIMIT,2026-03-02T01:19:58.793000,66806.4,1.0,FILLED,2026-03-02T01:20:30.793000,1.0,0.0,66773.4594152,2026-03-02T01:19:58.793000,2026-03-02T01:20:30.793000,11,0.0,0.0,
ORD-000006,strategy-1,SELL,LIMIT,2026-03-02T01:52:57.992000,66621.0,1.0,FILLED,2026-03-02T01:53:13.593000,1.0,0.0,66623.45278,2026-03-02T01:52:57.992000,2026-03-02T01:53:13.593000,2,0.0,0.0,
ORD-000007,strategy-1,BUY,LIMIT,2026-03-02T01:57:35.793000,66531.8,1.0,FILLED,2026-03-02T01:58:08.392000,1.0,0.0,66520.286924,2026-03-02T01:57:35.793000,2026-03-02T01:58:08.392000,17,0.0,0.0,
ORD-000008,strategy-1,SELL,LIMIT,2026-03-02T02:14:53.592000,66099.3,1.0,FILLED,2026-03-02T02:15:09.792000,1.0,0.0,66125.6966005,2026-03-02T02:14:53.592000,2026-03-02T02:15:09.792000,5,0.0,0.0,
ORD-000009,strategy-1,BUY,LIMIT,2026-03-02T02:20:04.793000,66070.7,1.0,FILLED,2026-03-02T02:20:21.192000,1.0,0.0,66058.2751385,2026-03-02T02:20:04.793000,2026-03-02T02:20:21.192000,9,0.0,0.0,
ORD-000010,strategy-1,SELL,LIMIT,2026-03-02T02:23:42.992000,66235.9,1.0,FILLED,2026-03-02T02:24:16.992000,0.9999999999999999,0.0,66239.2073245,2026-03-02T02:23:42.992000,2026-03-02T02:24:16.992000,4,0.0,0.0,
ORD-000011,strategy-1,BUY,LIMIT,2026-03-02T02:42:21.193000,66279.1,1.0,FILLED,2026-03-02T02:49:59.193000,1.0,0.0,66260.0343658,2026-03-02T02:42:21.193000,2026-03-02T02:49:59.193000,7,0.0,0.0,
ORD-000012,strategy-1,SELL,LIMIT,2026-03-02T02:56:23.795000,66333.5,1.0,FILLED,2026-03-02T02:56:43.192000,0.9999999999999999,0.0,66355.8296278,2026-03-02T02:56:23.795000,2026-03-02T02:56:43.192000,20,0.0,0.0,
ORD-000013,strategy-1,BUY,LIMIT,2026-03-02T03:00:28.992000,66261.9,1.0,FILLED,2026-03-02T03:01:02.793000,1.0,0.0,66254.41656829999,2026-03-02T03:00:28.992000,2026-03-02T03:01:02.793000,3,0.0,0.0,
ORD-000014,strategy-1,SELL,LIMIT,2026-03-02T03:07:53.592000,66295.5,1.0,FILLED,2026-03-02T03:08:11.193000,1.0,0.0,66324.1350346,2026-03-02T03:07:53.592000,2026-03-02T03:08:11.193000,4,0.0,0.0,
ORD-000015,strategy-1,BUY,LIMIT,2026-03-02T03:56:20.592000,66855.5,1.0,FILLED,2026-03-02T03:56:53.992000,0.9999999999999999,0.0,66847.3703281,2026-03-02T03:56:20.592000,2026-03-02T03:56:53.992000,24,0.0,0.0,
ORD-000016,strategy-1,SELL,LIMIT,2026-03-02T04:27:26.392000,66915.8,0.9999999999999999,FILLED,2026-03-02T04:28:16.392000,0.9999999999999999,0.0,66926.6974416,2026-03-02T04:27:26.392000,2026-03-02T04:28:16.392000,14,0.0,0.0,
ORD-000017,strategy-1,BUY,LIMIT,2026-03-02T04:33:49.393000,66846.8,1.0,FILLED,2026-03-02T04:35:43.392000,0.9999999999999999,0.0,66802.02039100001,2026-03-02T04:33:49.393000,2026-03-02T04:35:43.392000,4,0.0,0.0,
ORD-000018,strategy-1,SELL,LIMIT,2026-03-02T04:40:10.592000,66857.1,0.9999999999999999,FILLED,2026-03-02T04:40:10.592000,0.9999999999999999,0.0,66857.1,2026-03-02T04:40:10.592000,2026-03-02T04:40:10.592000,1,0.0,0.0,
ORD-000019,strategy-1,BUY,LIMIT,2026-03-02T04:43:01.392000,66780.3,1.0,FILLED,2026-03-02T04:46:13.793000,1.0,0.0,66735.8446809,2026-03-02T04:43:01.392000,2026-03-02T04:46:13.793000,12,0.0,0.0,
ORD-000020,strategy-1,SELL,LIMIT,2026-03-02T04:52:57.192000,66750.0,1.0,FILLED,2026-03-02T04:54:23.392000,1.0,0.0,66753.4200595,2026-03-02T04:52:57.192000,2026-03-02T04:54:23.392000,21,0.0,0.0,
ORD-000021,strategy-1,SELL,LIMIT,2026-03-02T04:54:23.392000,66758.2,2.220446049250313e-16,FILLED,2026-03-02T04:54:23.392000,2.220446049250313e-16,0.0,66758.2,2026-03-02T04:54:23.392000,2026-03-02T04:54:23.392000,1,0.0,0.0,
ORD-000022,strategy-1,BUY,LIMIT,2026-03-02T05:04:56.992000,66688.2,1.0,FILLED,2026-03-02T05:05:17.193000,1.0,0.0,66670.44204329999,2026-03-02T05:04:56.992000,2026-03-02T05:05:17.193000,11,0.0,0.0,
ORD-000023,strategy-1,SELL,LIMIT,2026-03-02T05:11:33.793000,66701.2,0.9999999999999999,FILLED,2026-03-02T05:12:47.793000,0.9999999999999999,0.0,66712.1542918,2026-03-02T05:11:33.793000,2026-03-02T05:12:47.793000,2,0.0,0.0,
ORD-000024,strategy-1,BUY,LIMIT,2026-03-02T05:20:38.393000,66716.5,1.0,FILLED,2026-03-02T05:23:35.592000,1.0,0.0,66711.21184769999,2026-03-02T05:20:38.393000,2026-03-02T05:23:35.592000,3,0.0,0.0,
ORD-000025,strategy-1,SELL,LIMIT,2026-03-02T05:33:52.393000,66728.5,1.0,FILLED,2026-03-02T05:34:28.192000,1.0,0.0,66743.71870510001,2026-03-02T05:33:52.393000,2026-03-02T05:34:28.192000,16,0.0,0.0,
ORD-000026,strategy-1,BUY,LIMIT,2026-03-02T05:52:16.993000,66852.2,1.0,FILLED,2026-03-02T05:52:35.592000,1.0,0.0,66840.00394889999,2026-03-02T05:52:16.993000,2026-03-02T05:52:35.592000,22,0.0,0.0,
